店舗番号,店名,店舗カテゴリ,主な取扱い,営業時間,紹介⽂,URLエイリアス,店舗画像
10,クロワッサン,パン,クロワッサン　他パン,10〜18時,自慢のバターたっぷりサクサククロワッサンはいかが？毎日10種以上のフレーバーを準備してお待ちしています。お隣のカフェボンジュールでは当店の焼き立てパンをセットにしたメニューもございます。,/shop/10,shop10.jpg
11,テーラー表参道,服（男性）,テーラーメイドスーツ,10〜17時,上質な生地で紳士淑女の為のフルオーダースーツ、シャツをお仕立て致します。2022年よりワンピース等の女性服のオーダーも受付開始致しました。,/shop/11,shop11.jpg
12,長谷川写真館,写真,記念撮影,9〜12時、13〜18時,証明写真、記念写真、にゃんコツ神社でのロケーション撮影も受け付けています。七五三のお参りや神社での婚礼の際は是非。,/shop/12,shop12.jpg
13,Sole italiano,イタリア料理,パスタ,11〜14時、18〜21時,イタリア出身の日本人シェフが手がけるイタリア家庭料理をぜひごお楽しみください。,/shop/13,shop13.jpg
14,居酒屋　天狗,居酒屋,焼き鳥,11〜14時、18〜23時,この道二十有余年のベテラン焼き師が奏でる炭火と肉汁のハーモニー。テイクアウトOK。,/shop/14,shop14.jpg
15,桃園郷,中華料理,チャーハン　餃子,11〜14時、18〜23時,テイクアウトOK。飲茶を楽しみたいなら桃園郷へ。,/shop/15,shop15.jpg
16,beauty salon mikako,美容,ヘアカット　パーマ　カラーリング,8〜19時,あなたの「こうなりたい！」を叶えるお手伝いを致します。オーナーのミカは日本髪マニア。舞台衣装、メイクを長年経験したスタッフ、コスプレイヤーのスタッフも在籍している、とってもカオスなビューティサロンです♪,/shop/16,shop16.jpg
17,呉服の錦堂,呉服,着物販売＆レンタル,10〜17時,着物、浴衣の販売やレンタル、クリーニング受付も行っています。毎週土曜日は着付け教室も開催中です。,/shop/17,shop17.jpg
18,佐藤園,お茶（茶葉）,日本茶葉　海苔,10〜17時,いつものお茶から特別なお茶まで、用途に合わせてご提案致します。日替わりでおすすめ茶の試飲もご用意しています。,/shop/18,shop18.jpg
19,小松電器,電器,家電販売　取付工事,10〜18時,身近な家電のお困りごとは何でもご相談ください！スマホやパソコンの購入から設定まで親切丁寧に行います。,/shop/19,shop19.jpg
20,antique  Portobello,骨董,英国骨董品,12〜20時,イギリスのアンティークジュエリーやレース、小物を中心に取り扱っています。年に4回買付で不在にします。,/shop/20,shop20.jpg
21,ヒノキ薬局,薬局,調剤　漢方,8〜19時,お薬のことならお気軽にご相談ください。,/shop/21,shop21.jpg
22,ひめの内科クリニック,医院（内科）,内科,8〜19時,街の身近なお医者さんです。あれ？と思ったら我慢せずまずはご相談ください。,/shop/22,shop22.jpg
23,喫茶＆ギャラリー　ミューズ,喫茶＆ギャラリー,珈琲とアーティスト作品展示販売,8〜18時（定休なし）,年に一度数ヶ月不在にします。作家さんの個展があるときには、ギャラリーの準備で展示期間の前後はお休みとさせていただきます。,/shop/23,shop23.jpg
24,靴の赤木,靴,一般流通の靴　学校指定靴,10〜17時,サンダル、長靴、運動靴、オシャレ靴、安全靴、さまざまな靴を取り扱っています。 ,/shop/24,shop24.jpg
25,Craft shop 白菜堂,手芸品,手芸用品全般,10〜18時,世界中の刺繍に関する道具や本を、古いものから新しいものまで多数取り揃えています。刺繍のことなら何でも聞きに来てくださ〜い！,/shop/25,shop25.jpg
26,玩具倉庫,玩具,プラモデル　ラジコン,10〜18時,ビデオゲーム、ボードゲーム、カード、ミニ四駆、プラモ、ぬいぐるみ、色々あります。玩具の修理も受付ています。使わなくなった玩具の買い取りもしてます。,/shop/26,shop26.jpg
27,タピオカ喫茶店 まる茶,カフェ,タピオカミルクティー,10〜18時,高級茶葉を使用したタピオカドリンクが楽しめます。店内にはイートインスペースも用意しています。,/shop/27,shop27.jpg
